Lambda Nist,Lambda Exp,Angulos(Graus),Angulos(rad),Erro Lambda(exp)
4.046565e-07,4.064655707826197e-07,23.983,0.4185823145058001,3.189296336955701e-10
4.077837e-07,4.0700767956215066e-07,24.017,0.4191757264514781,3.188453823314187e-10
4.343634e-07,4.34445257404417e-07,25.75,0.4494222823885398,3.144029968619004e-10
4.916068e-07,4.914054552973149e-07,29.433,0.513702758739491,3.040122444512811e-10
5.4048e-07,5.439069495872503e-07,32.95,0.5750859885321317,2.929170500494653e-10
5.67581e-07,5.73576436351046e-07,35,0.6108652381980153,2.859380049457064e-10
5.76961e-07,5.754763770537806e-07,35.133,0.6131865261031678,2.8547247613738933e-10
