Vernier Format 2
Untitled.cmbl 06/12/2023 09:11:42 ,
Latest
Wavelength	Intensity
λ	I
nm	rel

380	0,0017270288397
381	0,00158450704225
382	0,00162642521797
383	0,00190308517773
384	0,00179828973843
385	0,00191146881288
386	0,00189470154259
387	0,00212525150905
388	0,00227196512408
389	0,00226358148893
390	0,00275402414487
391	0,00299295774648
392	0,00278336686787
393	0,00256539235412
394	0,00293427230047
395	0,00289235412475
396	0,00323189134809
397	0,00469483568075
398	0,0131874580818
399	0,00753269617706
400	0,00552481556003
401	0,00597753185781
402	0,00853873239437
403	0,0473340040241
404	0,900083836351
405	0,211569416499
406	0,014361167002
407	0,125628772636
408	0,0598591549296
409	0,00643863179074
410	0,00484574111335
411	0,00446428571429
412	0,00401576123407
413	0,00407444668008
414	0,00369718309859
415	0,00385647216633
416	0,00384808853119
417	0,00391096579477
418	0,00399899396378
419	0,0038313212609
420	0,00396126760563
421	0,00387323943662
422	0,00438464118042
423	0,00411217303823
424	0,00430080482897
425	0,00475352112676
426	0,00515593561368
427	0,00528169014085
428	0,00603621730382
429	0,0102196512408
430	0,0130784708249
431	0,0132796780684
432	0,0130365526492
433	0,0223717303823
434	0,089302481556
435	0,894869215292
436	1
437	0,0601441985245
438	0,0132964453387
439	0,00987173038229
440	0,00801475519785
441	0,00746981891348
442	0,00667337357478
443	0,00685362173038
444	0,00632126089873
445	0,00663983903421
446	0,00648893360161
447	0,00608651911469
448	0,00609490274983
449	0,00611167002012
450	0,00604460093897
451	0,00612843729041
452	0,00589369550637
453	0,00547032193159
454	0,00549966465459
455	0,00540744466801
456	0,00514336016097
457	0,00516431924883
458	0,00486250838364
459	0,00477867203219
460	0,00474094567404
461	0,00456069751844
462	0,00428403755869
463	0,00464034205231
464	0,00425888665325
465	0,00412474849095
466	0,00403252850436
467	0,00446428571429
468	0,00412474849095
469	0,00393192488263
470	0,00387323943662
471	0,00371395036888
472	0,00353789403085
473	0,003546277666
474	0,00343309859155
475	0,00338698859826
476	0,00337860496311
477	0,00325704225352
478	0,00340375586854
479	0,00323608316566
480	0,00321093226023
481	0,00330734406439
482	0,00326123407109
483	0,00327800134138
484	0,00373071763917
485	0,00350855130785
486	0,00377263581489
487	0,00391515761234
488	0,00414151576123
489	0,00394869215292
490	0,00438464118042
491	0,0274312541918
492	0,0174170020121
493	0,00637156270959
494	0,00392354124748
495	0,00406606304494
496	0,00442655935614
497	0,00435110663984
498	0,00446009389671
499	0,00449362843729
500	0,00481639839034
501	0,00446847753186
502	0,0048373574782
503	0,00504694835681
504	0,00499245472837
505	0,00477028839705
506	0,0048373574782
507	0,00503856472166
508	0,00526911468813
509	0,00516431924883
510	0,0051978537894
511	0,00549128101945
512	0,00559607645875
513	0,00580985915493
514	0,00581824279007
515	0,00596914822267
516	0,00635060362173
517	0,00608651911469
518	0,00632964453387
519	0,00642186452046
520	0,00660630449363
521	0,00676559356137
522	0,00655600268276
523	0,00652246814219
524	0,00689134808853
525	0,0074069416499
526	0,00754527162978
527	0,00752012072435
528	0,00781354795439
529	0,00782193158954
530	0,00808182427901
531	0,00860160965795
532	0,00919684775319
533	0,00944835680751
534	0,010060362173
535	0,0106807511737
536	0,0109741784038
537	0,011569416499
538	0,0120975855131
539	0,0128353454058
540	0,0178068410463
541	0,030055331992
542	0,0267689470154
543	0,0304828973843
544	0,0528252850436
545	0,743980549966
546	1
547	1
548	0,71308685446
549	0,0521545942321
550	0,0216633132126
551	0,0160714285714
552	0,0140593561368
553	0,0130197853789
554	0,0117203219316
555	0,0110328638498
556	0,0103202548625
557	0,0103370221328
558	0,00994299128102
559	0,00950704225352
560	0,00932260228035
561	0,00907947686117
562	0,00881539235412
563	0,0086686787391
564	0,00882796780684
565	0,00855969148223
566	0,00851777330651
567	0,00857645875252
568	0,00881120053655
569	0,00876089872569
570	0,00851777330651
571	0,00883635144199
572	0,0111921529175
573	0,010932260228
574	0,0132377598927
575	0,0182763246144
576	0,63459926224
577	0,750251509054
578	0,704917002012
579	0,969139839034
580	0,287894030852
581	0,0763329979879
582	0,0142857142857
583	0,0092555331992
584	0,00792253521127
585	0,00710093896714
586	0,00720154258887
587	0,00673205902079
588	0,00617035546613
589	0,00588531187123
590	0,00596076458753
591	0,00570087189805
592	0,00583501006036
593	0,00565895372233
594	0,00547451374916
595	0,00582243460765
596	0,00554158283032
597	0,00531522468142
598	0,00518947015426
599	0,00515593561368
600	0,00515593561368
601	0,00542002012072
602	0,00503856472166
603	0,00504694835681
604	0,00477867203219
605	0,00496311200537
606	0,00471998658618
607	0,00511401743796
608	0,00485412474849
609	0,00459423205902
610	0,00452716297787
611	0,00449362843729
612	0,00486250838364
613	0,00468645204561
614	0,00496730382294
615	0,00431757209926
616	0,00421696847753
617	0,0040409121395
618	0,00387323943662
619	0,0037558685446
620	0,00369718309859
621	0,00363849765258
622	0,00376006036217
623	0,00424211938296
624	0,00396545942321
625	0,00399899396378
626	0,00367203219316
627	0,00353789403085
628	0,00348759221999
629	0,00360915492958
630	0,00513916834339
631	0,00364688128773
632	0,00336183769282
633	0,00317739771965
634	0,00320254862508
635	0,00329476861167
636	0,0031857813548
637	0,00310613682093
638	0,00317739771965
639	0,00317739771965
640	0,00326123407109
641	0,00314386317907
642	0,0029594232059
643	0,00307679409792
644	0,0029594232059
645	0,00277498323273
646	0,00266599597586
647	0,00307679409792
648	0,00309356136821
649	0,0027498323273
650	0,00274144869215
651	0,00254024144869
652	0,00266599597586
653	0,00280851777331
654	0,00280851777331
655	0,00273306505701
656	0,00248993963783
657	0,00228034875922
658	0,0023138832998
659	0,00233903420523
660	0,0025234741784
661	0,00254024144869
662	0,00219651240778
663	0,0023138832998
664	0,00236418511066
665	0,00250670690812
666	0,00233065057009
667	0,00271629778672
668	0,00258215962441
669	0,00248993963783
670	0,00233065057009
671	0,0026019754893
672	0,00306002682763
673	0,00254862508384
674	0,00224681421865
675	0,00236418511066
676	0,00233065057009
677	0,00259054325956
678	0,00209590878605
679	0,0020288397049
680	0,00198692152918
681	0,00198692152918
682	0,00209590878605
683	0,00208752515091
684	0,00206237424547
685	0,00214621059691
686	0,0022384305835
687	0,00201207243461
688	0,00214621059691
689	0,00211267605634
690	0,00612843729041
691	0,00726861167002
692	0,00398222669349
693	0,00316063044936
694	0,00245640509725
695	0,00304325955734
696	0,0104292421194
697	0,00780935613682
698	0,00438464118042
699	0,00306841046278
700	0,00230549966465
701	0,00207075788062
702	0,00207914151576
703	0,00198692152918
704	0,00204560697518
705	0,00185278336687
706	0,00659792085848
707	0,00889503688799
708	0,0057847082495
709	0,00438464118042
710	0,00278336686787
711	0,00251509054326
712	0,00205399061033
713	0,00201207243461
714	0,0025234741784
715	0,00248155600268
716	0,00219651240778
717	0,00218812877264
718	0,00226358148893
719	0,00186116700201
720	0,00204560697518
721	0,00214621059691
722	0,00184439973172
723	0,00200368879946
724	0,001802481556
725	0,00192823608317
726	0,00264922870557
727	0,00395707578806
728	0,00301810865191
729	0,00246478873239
730	0,00217136150235
731	0,00203722334004
732	0,00223004694836
733	0,00197015425889
734	0,00184439973172
735	0,00219651240778
736	0,00225519785379
737	0,0041918175721
738	0,0152079141516
739	0,00899564050973
740	0,0048373574782
741	0,00341213950369
742	0,00220489604292
743	0,00213782696177
744	0,00235580147552
745	0,00201207243461
746	0,00191146881288
747	0,00209590878605
748	0,00238095238095
749	0,0033953722334
750	0,013665325285
