Vernier Format 2
Untitled.cmbl 06/12/2023 08:53:22 ,
Latest
Wavelength	Intensity
λ	I
nm	rel

380	0,00138796072585
381	0,00150105382203
382	0,00160576965183
383	0,00142146979139
384	0,00152618562118
385	0,00160576965183
386	0,00146487926265
387	0,00151361972161
388	0,00173142864759
389	0,0017230513812
390	0,0017775036127
391	0,00168954231567
392	0,00175656044674
393	0,00180263541185
394	0,00186546490973
395	0,00181520131142
396	0,00191572850803
397	0,00205814203655
398	0,00189897397526
399	0,00163927871736
400	0,0020330102374
401	0,00232621456083
402	0,00230527139487
403	0,00243511902382
404	0,00251889168766
405	0,00269481428172
406	0,0027534551464
407	0,00289586867493
408	0,00318488436517
409	0,00322258206389
410	0,00353254092009
411	0,00387600884182
412	0,00453781288614
413	0,00499018527086
414	0,00520799419684
415	0,00586142097477
416	0,00631379335949
417	0,00729393352639
418	0,00841648722181
419	0,00953904091723
420	0,0105610674161
421	0,0117590165089
422	0,0137360513755
423	0,0153738069535
424	0,0169026580685
425	0,020077642028
426	0,0223311266852
427	0,0251123791246
428	0,0286727173377
429	0,0328948595951
430	0,0365222159393
431	0,0408281308605
432	0,0458209816252
433	0,0525688696973
434	0,0574653818986
435	0,0642677222022
436	0,0730889837043
437	0,0821783177307
438	0,0915022152158
439	0,100281590386
440	0,110309178247
441	0,125480407668
442	0,137828498318
443	0,153510740988
444	0,165699663577
445	0,183208150319
446	0,194261953312
447	0,217337133566
448	0,227523889489
449	0,251600153076
450	0,260572205372
451	0,266226860182
452	0,270348475242
453	0,276091091348
454	0,267935822524
455	0,262800558231
456	0,250041981528
457	0,240533784183
458	0,224240001066
459	0,21654129326
460	0,202480051634
461	0,196226422279
462	0,188083719354
463	0,180565122775
464	0,172770076404
465	0,165850454372
466	0,163647233313
467	0,164505903117
468	0,154650049216
469	0,152840559678
470	0,146448705427
471	0,144572197757
472	0,142100904174
473	0,138322757035
474	0,134435705432
475	0,132793761221
476	0,132182220775
477	0,129736058991
478	0,130682690093
479	0,130422994835
480	0,131520416731
481	0,132538254597
482	0,133145606409
483	0,135893349783
484	0,138021175445
485	0,140492469028
486	0,144706234019
487	0,146398441828
488	0,150201720767
489	0,154377788059
490	0,156551688686
491	0,161519407651
492	0,164669259811
493	0,169067324663
494	0,175752383237
495	0,179756716569
496	0,184309760848
497	0,188041833022
498	0,194869305125
499	0,200582600799
500	0,206702193892
501	0,211364142634
502	0,217546565226
503	0,224131096603
504	0,229647526517
505	0,234342984325
506	0,239453116819
507	0,245509880415
508	0,250481788013
509	0,25374473327
510	0,258997279292
511	0,264626802302
512	0,267810163528
513	0,270691943164
514	0,275073253483
515	0,278466046368
516	0,280087047413
517	0,282160420843
518	0,284774127955
519	0,287228667006
520	0,288426616098
521	0,28848106833
522	0,289783733253
523	0,290789005219
524	0,289867505916
525	0,288908308916
526	0,287639153058
527	0,288058016378
528	0,287748057521
529	0,286508222097
530	0,28619826324
531	0,28531865027
532	0,287094630743
533	0,287731302989
534	0,284862089252
535	0,286918708149
536	0,286717653756
537	0,287865339251
538	0,287488362263
539	0,289884260449
540	0,29016071024
541	0,290872777882
542	0,292539853893
543	0,292941962679
544	0,295245710935
545	0,295823742315
546	0,298370431296
547	0,298923330877
548	0,299652153053
549	0,302249105632
550	0,303028191405
551	0,303153850401
552	0,303999954306
553	0,304184254166
554	0,305382203259
555	0,304854435477
556	0,305474353189
557	0,305042923971
558	0,305457598657
559	0,304284781363
560	0,302550687221
561	0,302500423623
562	0,300230184433
563	0,298311790431
564	0,297985077042
565	0,296586073556
566	0,293695916654
567	0,290893721048
568	0,289230833671
569	0,28631554497
570	0,283073542879
571	0,280853567288
572	0,277624131097
573	0,276614670497
574	0,273607231866
575	0,271646951532
576	0,267877181659
577	0,266520064505
578	0,263412098677
579	0,263135648886
580	0,259592065206
581	0,257129148889
582	0,254565705375
583	0,253434774414
584	0,250787558236
585	0,249078595894
586	0,246682697708
587	0,244739171907
588	0,243072095897
589	0,241811317306
590	0,240190316261
591	0,239846848339
592	0,238699162845
593	0,237090727699
594	0,235088561033
595	0,234673886347
596	0,23104234137
597	0,23064860985
598	0,22986114681
599	0,227121780702
600	0,226376203994
601	0,226405524426
602	0,223251483633
603	0,221517389491
604	0,219699522686
605	0,217588451558
606	0,215083648909
607	0,213131745841
608	0,209818536987
609	0,207669768159
610	0,203749207492
611	0,201101991314
612	0,197390862306
613	0,194617987133
614	0,192037789087
615	0,189323554779
616	0,18494224446
617	0,181365151714
618	0,178784953668
619	0,17380048017
620	0,169461056183
621	0,166537390215
622	0,163475499352
623	0,159517240985
624	0,15621659803
625	0,153008105005
626	0,147881217978
627	0,144002543643
628	0,140685146155
629	0,137979289113
630	0,134351932769
631	0,131319362338
632	0,12827841464
633	0,124910753554
634	0,120730497629
635	0,118686444631
636	0,115963833056
637	0,113551180338
638	0,110786682431
639	0,106639935571
640	0,105374968347
641	0,102484811445
642	0,0994941273459
643	0,0974752061474
644	0,0951630806255
645	0,0921472647273
646	0,0907943362064
647	0,0882685903917
648	0,0863920827217
649	0,0838370164747
650	0,0820694132677
651	0,0798243058768
652	0,077579198486
653	0,0759958951395
654	0,073432451626
655	0,0715643212225
656	0,0701988268019
657	0,0682971873328
658	0,0663955478637
659	0,063957763346
660	0,0628603414498
661	0,0604811977968
662	0,0591827215073
663	0,0570297640467
664	0,0555888742287
665	0,053653725694
666	0,0521793268105
667	0,0506965506606
668	0,0500598784154
669	0,0481666162127
670	0,04666708553
671	0,0449413686549
672	0,0440282466191
673	0,042017702687
