,Hg 01,Hg 02,Hg 03,LED Teto,He Ne,Vm01,Vm02,Vm03,Vm04,Cu(NO3),Na01,Na02,Na03,Na04,Led Viol Fort,Led Viol,Laser Verde,Isquero
lambda,I,I,I,I,I,I,I,I,I,,,,,,,,,
399,0.00247727072671,0.00495801633619,0.00753269617706,0.00163927871736,0.00132937834702,0.0054050094,0.0016094193,0.0396842734,0.0032922791,0.0026483680,0.0019279249,0.0046185146,0.0804357415,0.0116223824739,0.246871765277,0.807228170556,0.00146027368392,0.00241926088039
400,0.00213355465295,0.00360828965394,0.00552481556003,0.0020330102374,0.0013613840166,0.0058331063,0.0013633133,0.0417958929,0.0031201861,0.0026651250,0.0018271782,0.0043120638,0.0581984085,0.00960327209602,0.219682535321,0.84468568632,0.00125259031554,0.00228523824427
401,0.00228445439265,0.0038011077514,0.00597753185781,0.00232621456083,0.00124936417308,0.0057071955,0.0018043964,0.0438860964,0.0034979511,0.0027237745,0.0021881871,0.0072254451,0.1587381079,0.0240686657806,0.189016980101,0.859937446101,0.00129458511429,0.00226848541476
402,0.00282937011934,0.00512149254926,0.00853873239437,0.00230527139487,0.00153855825889,0.0058331063,0.0016094193,0.0475610853,0.0035315302,0.0028117488,0.0023057249,0.0113814213,0.2847412383,0.0394659565626,0.167949105499,0.852429145856,0.00143679477371,0.00246951936894
403,0.0078006782105,0.0237284389546,0.0473340040241,0.00243511902382,0.00134995342032,0.0063199616,0.0015785130,0.0511846758,0.0036406623,0.0030086436,0.0043206583,0.0151847692,0.1770080986,0.0268895434811,0.147821686041,0.821942423385,0.00129878459417,0.00244439012466
404,0.158943534156,0.496166311325,0.900083836351,0.00251889168766,0.00131451857186,0.0109450868,0.0027216662,0.0807987474,0.0040771907,0.0032516201,0.0817024966,0.1516519147,1.0000000000,0.261685634703,0.123361455385,0.754090569158,0.00141407940529,0.00250302502797
405,0.0413465286772,0.106853997451,0.211569416499,0.00269481428172,0.00147168927067,0.0078476799,0.0023774993,0.0602179528,0.0038463344,0.0027614778,0.0191807922,0.0379166996,0.9347536434,0.0784041433931,0.108763408356,0.690610158194,0.00112011581402,0.00258260096816
406,0.0044641172994,0.00842035869501,0.014361167002,0.0027534551464,0.00134157098305,0.0065130249,0.0023271334,0.0558533680,0.0039680586,0.0031091856,0.0030529294,0.0086779378,0.1234531883,0.0170752398147,0.0949546718941,0.576763666057,0.00137208460654,0.00266217690836
407,0.0180870104666,0.0608752646009,0.125628772636,0.00289586867493,0.00119068711219,0.0078812561,0.0020753039,0.0579778371,0.0038673213,0.0031929706,0.0062936140,0.0247645042,0.3793172894,0.0472401611777,0.0804196017722,0.466138016363,0.00137208460654,0.00258678917554
408,0.0130402525056,0.0320824926121,0.0598591549296,0.00318488436517,0.00116134858175,0.0082002303,0.0019367977,0.0608347341,0.0036826362,0.0032390523,0.0053533117,0.0149958612,0.2659405841,0.0337360487334,0.073068097502,0.416695775264,0.00132169084804,0.00268311794525
409,0.00287967003257,0.00445501260367,0.00643863179074,0.00322258206389,0.0013834831694,0.0066893001,0.0020081494,0.0623210059,0.0043206393,0.0036370311,0.0021546049,0.0050928836,0.0646927205,0.0105015873161,0.0659517070177,0.367480294911,0.00139728148579,0.00306424481671
410,0.00184471121181,0.00303821875709,0.00484574111335,0.00353254092009,0.00131642367124,0.0073776127,0.0019577835,0.0642912797,0.0044633505,0.0032935126,0.0018943427,0.0046311085,0.0620983650,0.00930103519953,0.0561944849023,0.316727880615,0.00136368564679,0.00290509293632
411,0.00196169661607,0.00266934935324,0.00446428571429,0.00387600884182,0.00136252707622,0.0088297846,0.0018360659,0.0671952919,0.0046522330,0.0033647299,0.0019279249,0.0047948287,0.0586911676,0.0088015047734,0.0504216017661,0.290390039935,0.00123350177065,0.00294697501011
412,0.00204133814536,0.00284540065962,0.00401576123407,0.00453781288614,0.00176069284654,0.0082589887,0.0022264016,0.0687115461,0.0047571677,0.0035364891,0.0019447160,0.0041525415,0.0499352177,0.00777305977841,0.0450685646761,0.258794709374,0.00116211061277,0.00296372783962
413,0.00214193797182,0.00269449953987,0.00407444668008,0.00499018527086,0.00144216023029,0.0078057096,0.0022264016,0.0729690507,0.0049922215,0.0036621666,0.0017516182,0.0041525415,0.0636145468,0.00991390446185,0.0398204890977,0.228324783995,0.00124610021028,0.00331553725944
414,0.0018485218113,0.00256874860674,0.00369718309859,0.00520799419684,0.0012790837234,0.0074447652,0.0022515845,0.0722066404,0.0045640878,0.0034150009,0.0017264316,0.0041147599,0.0578319979,0.00910374166988,0.0347277565565,0.192807332389,0.00134688772729,0.00326109056351
415,0.00220062120393,0.00290408442841,0.00385647216633,0.00586142097477,0.00135833585759,0.0075203117,0.0022096129,0.0754875746,0.0051769066,0.0037710872,0.0018271782,0.0041105619,0.0629912276,0.0101070002568,0.0308273867866,0.16881268608,0.00127129708953,0.00339930140701
